"","individual.identifier","timestamp","location.lat","location.long"
"1","BC #20 Elsie",2021-11-20 05:00:14,32.216735,-111.016669
"2","BC #20 Elsie",2021-11-20 18:00:11,32.216654,-111.0159
"3","BC #20 Elsie",2021-11-21 07:00:08,32.211023,-111.002666
"4","BC #20 Elsie",2021-11-21 20:00:24,32.221016,-111.001852
"5","BC #20 Elsie",2021-11-22 09:00:08,32.220213,-111.004686
"6","BC #20 Elsie",2021-11-23 11:00:08,32.222687,-111.004999
"7","BC #20 Elsie",2021-11-24 00:00:08,32.214859,-111.008212
"8","BC #20 Elsie",2021-11-24 07:01:21,32.217123,-111.004856
"9","BC #20 Elsie",2021-11-25 01:00:14,32.213843,-111.01033
"10","BC #20 Elsie",2021-11-25 07:00:13,32.214489,-111.013876
"11","BC #20 Elsie",2021-11-25 13:00:10,32.21638,-111.01084
"12","BC #20 Elsie",2021-11-25 19:00:12,32.221915,-111.016717
"13","BC #20 Elsie",2021-11-26 01:00:12,32.217218,-111.008906
"14","BC #20 Elsie",2021-11-26 07:00:09,32.219392,-111.010201
"15","BC #20 Elsie",2021-11-26 13:00:09,32.224982,-111.0002
"16","BC #20 Elsie",2021-11-26 19:00:13,32.208632,-110.999459
"17","BC #20 Elsie",2021-11-27 07:00:24,32.212343,-111.001648
"18","BC #20 Elsie",2021-11-27 13:00:11,32.209325,-110.995488
"19","BC #20 Elsie",2021-11-27 19:00:17,32.217278,-110.993705
"20","BC #20 Elsie",2021-11-28 01:00:12,32.221124,-110.998315
"21","BC #20 Elsie",2021-11-28 07:00:13,32.215882,-111.001926
"22","BC #20 Elsie",2021-11-28 13:00:09,32.21575,-111.003608
"23","BC #20 Elsie",2021-11-28 19:00:26,32.214487,-111.002816
"24","BC #20 Elsie",2021-11-29 01:00:16,32.21506,-111.007558
"25","BC #20 Elsie",2021-11-29 07:00:14,32.215307,-111.001372
"26","BC #20 Elsie",2021-11-29 13:00:09,32.208759,-110.998468
"27","BC #20 Elsie",2021-11-29 19:00:10,32.211259,-111.009898
"28","BC #20 Elsie",2021-11-30 01:00:19,32.212752,-111.011003
"29","BC #20 Elsie",2021-11-30 07:00:11,32.209983,-111.011556
"30","BC #20 Elsie",2021-11-30 13:00:08,32.219446,-111.00247
"31","BC #20 Elsie",2021-11-30 19:00:10,32.221607,-111.008116
"32","BC #20 Elsie",2021-12-01 01:00:11,32.217661,-111.008659
"33","BC #20 Elsie",2021-12-01 07:00:09,32.221619,-111.004395
"34","BC #20 Elsie",2021-12-01 11:00:37,32.219269,-111.004212
"35","BC #20 Elsie",2021-12-01 13:00:09,32.220653,-111.005006
"36","BC #20 Elsie",2021-12-01 19:00:09,32.219086,-111.005283
"37","BC #20 Elsie",2021-12-02 07:00:07,32.216816,-111.007327
"38","BC #20 Elsie",2021-12-02 13:00:08,32.222927,-110.998819
"39","BC #20 Elsie",2021-12-02 19:00:10,32.210233,-111.000659
"40","BC #20 Elsie",2021-12-03 01:00:11,32.213995,-111.010164
"41","BC #20 Elsie",2021-12-03 07:00:08,32.213875,-111.010089
"42","BC #20 Elsie",2021-12-03 19:00:08,32.215737,-111.005159
"43","BC #20 Elsie",2021-12-04 07:00:12,32.213692,-111.007477
"44","BC #20 Elsie",2021-12-04 19:00:09,32.213346,-110.997477
"45","BC #20 Elsie",2021-12-05 01:00:12,32.211568,-111.008703
"46","BC #20 Elsie",2021-12-05 07:00:14,32.212381,-111.008428
"47","BC #20 Elsie",2021-12-05 13:00:09,32.213955,-111.01479
"48","BC #20 Elsie",2021-12-05 19:00:10,32.216366,-111.005496
"49","BC #20 Elsie",2021-12-06 07:00:10,32.221967,-111.007852
"50","BC #20 Elsie",2021-12-06 13:00:11,32.213615,-110.994036
"51","BC #20 Elsie",2021-12-06 19:00:10,32.215968,-111.000688
"52","BC #20 Elsie",2021-12-07 07:00:10,32.221219,-111.003951
"53","BC #20 Elsie",2021-12-07 19:00:08,32.213209,-111.0077
"54","BC #20 Elsie",2021-12-08 01:00:08,32.213242,-111.007294
"55","BC #20 Elsie",2021-12-08 07:00:09,32.213228,-111.006584
"56","BC #20 Elsie",2021-12-08 13:00:07,32.209881,-110.993109
"57","BC #20 Elsie",2021-12-08 15:01:07,32.210053,-110.988516
"58","BC #20 Elsie",2021-12-08 19:00:08,32.206576,-110.99966
"59","BC #20 Elsie",2021-12-09 07:00:10,32.214221,-111.008334
"60","BC #20 Elsie",2021-12-09 13:00:17,32.213617,-111.011026
"61","BC #20 Elsie",2021-12-09 19:00:15,32.214839,-111.016269
"62","BC #20 Elsie",2021-12-10 01:00:08,32.212546,-111.01089
"63","BC #20 Elsie",2021-12-10 07:00:08,32.213563,-111.01293
"64","BC #20 Elsie",2021-12-10 13:00:08,32.210294,-111.012581
"65","BC #20 Elsie",2021-12-10 19:00:15,32.209529,-111.009875
"66","BC #20 Elsie",2021-12-11 01:00:09,32.212644,-111.007842
"67","BC #20 Elsie",2021-12-11 07:00:08,32.220848,-111.01258
"68","BC #20 Elsie",2021-12-11 13:00:06,32.224676,-111.011385
"69","BC #20 Elsie",2021-12-11 19:00:08,32.221958,-111.006568
"70","BC #20 Elsie",2021-12-12 07:00:11,32.223879,-111.003461
"71","BC #20 Elsie",2021-12-12 13:00:09,32.211018,-110.993042
"72","BC #20 Elsie",2021-12-12 19:00:10,32.220473,-111.004712
"73","BC #20 Elsie",2021-12-13 07:00:09,32.217484,-111.005891
"74","BC #20 Elsie",2021-12-13 13:00:07,32.218839,-111.005657
"75","BC #20 Elsie",2021-12-13 19:00:09,32.220144,-111.000032
"76","BC #20 Elsie",2021-12-14 07:00:07,32.209153,-111.00309
"77","BC #20 Elsie",2021-12-14 13:00:07,32.208449,-111.010338
"78","BC #20 Elsie",2021-12-14 19:00:10,32.211736,-111.014812
"79","BC #20 Elsie",2021-12-15 01:00:16,32.215039,-111.009415
"80","BC #20 Elsie",2021-12-15 07:00:08,32.214865,-111.01286
"81","BC #20 Elsie",2021-12-15 19:00:42,32.209806,-111.01124
"82","BC #20 Elsie",2021-12-16 07:00:08,32.207996,-110.999456
"83","BC #20 Elsie",2021-12-16 13:00:08,32.215457,-110.99768
"84","BC #20 Elsie",2021-12-16 19:00:18,32.216695,-111.003137
"85","BC #20 Elsie",2021-12-17 07:00:10,32.212466,-111.004415
"86","BC #20 Elsie",2021-12-17 13:00:09,32.212045,-111.004476
"87","BC #20 Elsie",2021-12-17 19:00:11,32.216903,-111.006161
"88","BC #20 Elsie",2021-12-18 01:00:10,32.213639,-111.010293
"89","BC #20 Elsie",2021-12-18 07:00:13,32.217752,-111.019501
"90","BC #20 Elsie",2021-12-18 13:00:08,32.223584,-111.005321
"91","BC #20 Elsie",2021-12-18 19:00:16,32.215549,-110.99234
"92","BC #20 Elsie",2021-12-19 01:00:16,32.208687,-110.991791
"93","BC #20 Elsie",2021-12-19 07:00:10,32.208693,-110.991749
"94","BC #20 Elsie",2021-12-19 13:00:13,32.207837,-110.997702
"95","BC #20 Elsie",2021-12-19 19:00:09,32.210067,-111.004385
"96","BC #20 Elsie",2021-12-20 01:00:07,32.214355,-111.00997
"97","BC #20 Elsie",2021-12-20 07:00:09,32.214421,-111.009997
"98","BC #20 Elsie",2021-12-20 13:00:12,32.21531,-111.013849
"99","BC #20 Elsie",2021-12-20 19:00:09,32.207774,-111.009672
"100","BC #20 Elsie",2021-12-21 01:00:11,32.210977,-111.00646
"101","BC #20 Elsie",2021-12-21 07:00:08,32.210763,-111.002286
"102","BC #20 Elsie",2021-12-21 13:00:09,32.21577,-110.998136
"103","BC #20 Elsie",2021-12-21 19:00:10,32.220601,-111.004562
"104","BC #20 Elsie",2021-12-22 01:00:09,32.217737,-111.008569
"105","BC #20 Elsie",2021-12-22 07:00:09,32.217777,-111.009913
"106","BC #20 Elsie",2021-12-22 13:00:07,32.22058,-111.00727
"107","BC #20 Elsie",2021-12-22 19:00:11,32.21813,-110.998459
"108","BC #20 Elsie",2021-12-22 23:01:13,32.212617,-111.007817
"109","BC #20 Elsie",2021-12-23 01:00:16,32.213524,-111.00808
"110","BC #20 Elsie",2021-12-23 07:00:07,32.215343,-111.006442
"111","BC #20 Elsie",2021-12-23 13:00:07,32.224291,-111.000665
"112","BC #20 Elsie",2021-12-23 19:00:08,32.221469,-111.004264
"113","BC #20 Elsie",2021-12-24 01:00:18,32.21273,-111.011008
"114","BC #20 Elsie",2021-12-24 13:00:06,32.209362,-111.009676
"115","BC #20 Elsie",2021-12-24 19:00:09,32.209738,-111.010477
"116","BC #20 Elsie",2021-12-25 07:00:10,32.219668,-111.013692
"117","BC #20 Elsie",2021-12-25 13:00:08,32.219501,-111.002232
"118","BC #20 Elsie",2021-12-25 19:00:09,32.213214,-111.002403
"119","BC #20 Elsie",2021-12-26 01:00:15,32.214096,-111.003619
"120","BC #20 Elsie",2021-12-26 07:00:16,32.209367,-111.019257
"121","BC #20 Elsie",2021-12-26 13:00:09,32.220856,-111.011688
"122","BC #20 Elsie",2021-12-26 19:00:09,32.209639,-111.010677
"123","BC #20 Elsie",2021-12-27 01:00:12,32.213515,-111.010234
"124","BC #20 Elsie",2021-12-27 07:00:19,32.213502,-111.010273
"125","BC #20 Elsie",2021-12-27 19:00:10,32.209005,-110.990685
"126","BC #20 Elsie",2021-12-28 07:00:10,32.213563,-110.991786
"127","BC #20 Elsie",2021-12-28 13:00:07,32.220603,-111.000448
"128","BC #20 Elsie",2021-12-28 19:00:08,32.215134,-111.012519
"129","BC #20 Elsie",2021-12-29 01:00:09,32.212685,-111.010976
"130","BC #20 Elsie",2021-12-29 07:00:12,32.216045,-111.015055
"131","BC #20 Elsie",2021-12-29 13:00:07,32.22141,-111.003275
"132","BC #20 Elsie",2021-12-29 19:00:09,32.219866,-111.007466
"133","BC #20 Elsie",2021-12-30 01:00:10,32.21529,-111.009583
"134","BC #20 Elsie",2021-12-30 03:00:50,32.215353,-111.009598
"135","BC #20 Elsie",2021-12-30 07:00:10,32.222426,-111.008535
"136","BC #20 Elsie",2021-12-30 13:00:11,32.222049,-111.000712
"137","BC #20 Elsie",2021-12-30 19:00:10,32.220296,-111.005376
"138","BC #20 Elsie",2021-12-31 01:00:13,32.216726,-111.008555
"139","BC #20 Elsie",2021-12-31 07:00:09,32.216681,-111.007289
"140","BC #20 Elsie",2021-12-31 13:00:06,32.211397,-111.000439
"141","BC #20 Elsie",2022-01-01 13:00:11,32.208866,-110.998436
"142","BC #20 Elsie",2022-01-01 19:00:20,32.211411,-110.997325
"143","BC #20 Elsie",2022-01-02 07:00:10,32.215002,-111.015964
"144","BC #20 Elsie",2022-01-02 13:00:07,32.226806,-111.012852
"145","BC #20 Elsie",2022-01-03 02:00:16,32.212578,-111.011009
"146","BC #20 Elsie",2022-01-03 15:00:11,32.214067,-111.003632
"147","BC #20 Elsie",2022-01-04 17:00:16,32.220304,-111.00541
"148","BC #20 Elsie",2022-01-05 06:00:09,32.216675,-111.008641
"149","BC #20 Elsie",2022-01-05 19:00:22,32.208489,-111.021941
"150","BC #20 Elsie",2022-01-06 07:01:27,32.21267,-111.01109
"151","BC #20 Elsie",2022-01-06 08:00:21,32.212725,-111.011106
"152","BC #20 Elsie",2022-01-06 21:00:09,32.20987,-111.012265
"153","BC #20 Elsie",2022-01-07 10:00:06,32.219555,-111.009382
"154","BC #20 Elsie",2022-01-08 12:00:08,32.218647,-111.005262
"155","BC #20 Elsie",2022-01-09 01:00:09,32.216715,-111.008582
"156","BC #20 Elsie",2022-01-09 14:00:07,32.221346,-110.996881
"157","BC #20 Elsie",2022-01-10 03:00:09,32.216757,-111.008596
"158","BC #20 Elsie",2022-01-10 16:00:08,32.219691,-111.005793
"159","BC #20 Elsie",2022-01-11 05:00:08,32.214631,-111.007793
"160","BC #20 Elsie",2022-01-11 18:00:08,32.222453,-111.003249
"161","BC #20 Elsie",2022-01-12 07:00:08,32.215325,-111.011637
"162","BC #20 Elsie",2022-01-12 20:00:07,32.213258,-111.010921
"163","BC #20 Elsie",2022-01-13 09:00:06,32.213418,-111.009812
"164","BC #20 Elsie",2022-01-13 11:00:49,32.212971,-111.009695
"165","BC #20 Elsie",2022-01-13 22:00:08,32.215035,-111.008909
"166","BC #20 Elsie",2022-01-14 11:00:07,32.213448,-111.011036
"167","BC #20 Elsie",2022-01-15 00:00:17,32.213502,-111.008113
"168","BC #20 Elsie",2022-01-15 13:00:08,32.216397,-111.006116
"169","BC #20 Elsie",2022-01-16 02:00:19,32.212731,-111.011072
"170","BC #20 Elsie",2022-01-16 15:00:10,32.212225,-111.012447
"171","BC #20 Elsie",2022-01-17 04:00:12,32.213521,-111.010254
"172","BC #20 Elsie",2022-01-17 17:00:08,32.208114,-110.988686
"173","BC #20 Elsie",2022-01-18 19:00:11,32.217613,-111.002762
"174","BC #20 Elsie",2022-01-19 08:00:09,32.215357,-111.00957
"175","BC #20 Elsie",2022-01-19 21:00:14,32.213448,-111.008112
"176","BC #20 Elsie",2022-01-20 15:00:37,32.219172,-111.014673
"177","BC #20 Elsie",2022-01-20 23:00:12,32.218011,-111.009793
"178","BC #20 Elsie",2022-01-21 12:00:20,32.216442,-110.992367
"179","BC #20 Elsie",2022-01-22 01:00:17,32.214517,-111.007751
"180","BC #20 Elsie",2022-01-22 14:00:08,32.232975,-111.0158
"181","BC #20 Elsie",2022-01-23 16:00:12,32.21658,-111.013483
"182","BC #20 Elsie",2022-01-24 05:00:08,32.213453,-111.010197
"183","BC #20 Elsie",2022-01-24 18:00:11,32.218316,-111.004781
"184","BC #20 Elsie",2022-01-25 07:00:09,32.213253,-111.012665
"185","BC #20 Elsie",2022-01-25 20:00:21,32.221189,-111.005931
"186","BC #20 Elsie",2022-01-26 09:00:07,32.211343,-111.010783
"187","BC #20 Elsie",2022-01-26 22:00:15,32.213335,-111.007979
"188","BC #20 Elsie",2022-01-27 11:00:09,32.219188,-111.004272
"189","BC #20 Elsie",2022-01-27 19:01:08,32.212638,-111.003976
"190","BC #20 Elsie",2022-01-28 13:00:10,32.210971,-111.009206
"191","BC #20 Elsie",2022-01-29 02:00:08,32.213944,-111.010501
"192","BC #20 Elsie",2022-01-29 15:00:08,32.213485,-111.011503
"193","BC #20 Elsie",2022-01-30 04:00:09,32.21347,-111.011387
"194","BC #20 Elsie",2022-01-30 17:00:07,32.214227,-111.007954
"195","BC #20 Elsie",2022-01-31 06:00:10,32.213041,-111.010933
"196","BC #20 Elsie",2022-01-31 19:00:09,32.216791,-111.009775
"197","BC #20 Elsie",2022-02-01 08:00:10,32.216755,-111.00773
"198","BC #20 Elsie",2022-02-01 21:00:08,32.2147,-111.012649
"199","BC #20 Elsie",2022-02-02 10:00:11,32.210968,-111.014729
"200","BC #20 Elsie",2022-02-02 23:00:08,32.213486,-111.010237
"201","BC #20 Elsie",2022-02-03 12:00:17,32.210612,-110.997451
"202","BC #20 Elsie",2022-02-03 23:00:58,32.219515,-111.007238
"203","BC #20 Elsie",2022-02-04 01:00:20,32.215386,-111.009612
"204","BC #20 Elsie",2022-02-04 14:00:10,32.219122,-110.997269
"205","BC #20 Elsie",2022-02-05 16:00:12,32.219531,-111.000125
"206","BC #20 Elsie",2022-02-06 05:00:12,32.215323,-111.009684
"207","BC #20 Elsie",2022-02-06 18:00:12,32.218912,-111.013471
"208","BC #20 Elsie",2022-02-07 07:00:06,32.215283,-111.00978
"209","BC #20 Elsie",2022-02-07 20:00:07,32.210223,-111.005393
"210","BC #20 Elsie",2022-02-08 09:00:08,32.216096,-111.013037
"211","BC #20 Elsie",2022-02-08 22:00:12,32.215411,-111.009659
"212","BC #20 Elsie",2022-02-09 11:00:10,32.222506,-111.004284
"213","BC #20 Elsie",2022-02-10 00:00:16,32.211359,-111.008697
"214","BC #20 Elsie",2022-02-10 13:00:11,32.211674,-111.011026
"215","BC #20 Elsie",2022-02-11 02:00:08,32.215341,-111.009561
"216","BC #20 Elsie",2022-02-11 03:01:07,32.215353,-111.009555
"217","BC #20 Elsie",2022-02-11 15:00:09,32.215718,-111.004523
"218","BC #20 Elsie",2022-02-12 04:00:08,32.21405,-111.008154
"219","BC #20 Elsie",2022-02-12 17:00:07,32.206754,-110.992859
"220","BC #20 Elsie",2022-02-13 06:00:09,32.212516,-111.004386
"221","BC #20 Elsie",2022-02-13 13:00:09,32.213891,-111.003415
"222","BC #20 Elsie",2022-02-13 17:00:17,32.213754,-111.003452
"223","BC #20 Elsie",2022-02-13 19:00:18,32.213785,-111.003442
"224","BC #20 Elsie",2022-02-13 21:00:08,32.213037,-111.004345
"225","BC #20 Elsie",2022-02-14 01:00:10,32.21409,-111.008041
"226","BC #20 Elsie",2022-02-14 05:00:08,32.214182,-111.008041
"227","BC #20 Elsie",2022-02-14 07:00:07,32.214141,-111.010194
"228","BC #20 Elsie",2022-02-14 09:00:07,32.215217,-111.013126
"229","BC #20 Elsie",2022-02-14 11:00:08,32.216715,-111.01619
"230","BC #20 Elsie",2022-02-14 13:00:10,32.21675,-111.016625
"231","BC #20 Elsie",2022-02-14 15:00:10,32.217776,-111.015776
"232","BC #20 Elsie",2022-02-14 17:00:13,32.218464,-111.01753
"233","BC #20 Elsie",2022-02-14 19:00:07,32.221777,-111.018748
"234","BC #20 Elsie",2022-02-14 21:00:09,32.215369,-111.009594
"235","BC #20 Elsie",2022-02-14 23:00:07,32.215295,-111.009539
"236","BC #20 Elsie",2022-02-15 01:00:18,32.215389,-111.009552
"237","BC #20 Elsie",2022-02-15 03:00:26,32.215337,-111.009445
"238","BC #20 Elsie",2022-02-15 05:00:10,32.215331,-111.009683
"239","BC #20 Elsie",2022-02-15 07:00:07,32.215288,-111.009709
"240","BC #20 Elsie",2022-02-15 09:00:06,32.21689,-111.009503
"241","BC #20 Elsie",2022-02-15 11:00:07,32.218267,-111.00848
"242","BC #20 Elsie",2022-02-15 13:00:08,32.21875,-111.007755
"243","BC #20 Elsie",2022-02-15 15:00:11,32.218919,-111.006345
"244","BC #20 Elsie",2022-02-15 17:00:09,32.219055,-111.007151
"245","BC #20 Elsie",2022-02-15 19:00:08,32.225359,-110.999208
"246","BC #20 Elsie",2022-02-15 21:00:11,32.22143,-111.005682
"247","BC #20 Elsie",2022-02-15 23:00:11,32.215285,-111.009517
"248","BC #20 Elsie",2022-02-16 01:00:09,32.215336,-111.009608
"249","BC #20 Elsie",2022-02-16 03:00:13,32.215321,-111.009477
"250","BC #20 Elsie",2022-02-16 09:00:08,32.21423,-111.012334
"251","BC #20 Elsie",2022-02-16 11:00:09,32.21041,-111.013284
"252","BC #20 Elsie",2022-02-16 13:00:07,32.209184,-111.019869
"253","BC #20 Elsie",2022-02-16 15:00:10,32.214165,-111.018737
"254","BC #20 Elsie",2022-02-16 17:00:08,32.214481,-111.018183
"255","BC #20 Elsie",2022-02-16 19:00:07,32.216319,-111.016564
"256","BC #20 Elsie",2022-02-16 21:00:09,32.213682,-111.012602
"257","BC #20 Elsie",2022-02-16 23:00:27,32.212571,-111.011064
"258","BC #20 Elsie",2022-02-17 01:00:20,32.212703,-111.01104
"259","BC #20 Elsie",2022-02-17 03:00:10,32.212632,-111.010989
"260","BC #20 Elsie",2022-02-17 05:00:25,32.21273,-111.011239
"261","BC #20 Elsie",2022-02-17 07:00:08,32.212718,-111.011055
"262","BC #20 Elsie",2022-02-17 09:00:06,32.208385,-111.00926
"263","BC #20 Elsie",2022-02-17 11:00:09,32.207103,-111.008861
"264","BC #20 Elsie",2022-02-17 13:00:10,32.208669,-111.004682
"265","BC #20 Elsie",2022-02-17 15:00:07,32.209694,-111.004904
"266","BC #20 Elsie",2022-02-17 17:00:08,32.215108,-111.004683
"267","BC #20 Elsie",2022-02-17 19:00:09,32.213783,-111.001856
"268","BC #20 Elsie",2022-02-17 21:00:09,32.212627,-111.00707
"269","BC #20 Elsie",2022-02-18 03:00:08,32.214626,-111.007747
"270","BC #20 Elsie",2022-02-18 05:00:08,32.214465,-111.0081
"271","BC #20 Elsie",2022-02-18 07:00:40,32.214634,-111.007807
"272","BC #20 Elsie",2022-02-18 09:00:08,32.218974,-111.00701
"273","BC #20 Elsie",2022-02-18 11:00:07,32.219816,-111.00842
"274","BC #20 Elsie",2022-02-18 13:00:09,32.219804,-111.008834
"275","BC #20 Elsie",2022-02-18 15:00:10,32.220064,-111.008358
"276","BC #20 Elsie",2022-02-18 17:00:11,32.220155,-111.006053
